iter	Passed	Remaining
401	17512	26051
402	17547	25994
403	17598	25961
404	17645	25923
405	17680	25868
406	17732	25836
407	17776	25793
408	17815	25743
409	17863	25706
410	17907	25663
411	17941	25605
412	17992	25572
413	18037	25531
414	18074	25477
415	18124	25443
416	18167	25399
417	18206	25349
418	18258	25317
419	18287	25254
420	18338	25221
421	18382	25178
422	18417	25123
423	18471	25093
424	18515	25049
425	18550	24994
426	18602	24962
427	18647	24920
428	18682	24866
429	18734	24834
430	18765	24773
431	18812	24735
432	18843	24675
433	18893	24640
434	18940	24601
435	18974	24545
436	19027	24513
437	19072	24471
438	19106	24416
439	19156	24381
440	19204	24342
441	19237	24286
442	19286	24249
443	19333	24210
444	19368	24155
445	19419	24121
446	19463	24078
447	19502	24029
448	19552	23993
449	19596	23951
450	19629	23894
451	19679	23859
452	19728	23822
453	19760	23765
454	19810	23729
455	19841	23670
456	19883	23625
457	19917	23570
458	19968	23535
459	20016	23497
460	20047	23439
461	20096	23402
462	20142	23361
463	20176	23307
464	20224	23268
465	20268	23225
466	20302	23171
467	20351	23134
468	20396	23092
469	20434	23043
470	20484	23007
471	20529	22965
472	20567	22915
473	20615	22876
474	20660	22834
475	20695	22782
476	20746	22747
477	20792	22706
478	20830	22656
479	20880	22620
480	20926	22580
481	20960	22526
482	21012	22491
483	21057	22449
484	21091	22396
485	21143	22361
486	21190	22322
487	21222	22266
488	21275	22232
489	21318	22188
490	21353	22136
491	21405	22101
492	21451	22060
493	21487	22009
494	21537	21972
495	21578	21926
496	21617	21878
497	21664	21838
498	21709	21796
499	21747	21747
500	21796	21709
501	21841	21667
502	21879	21618
503	21930	21582
504	21960	21525
505	22009	21487
506	22054	21445
507	22089	21394
508	22137	21354
509	22167	21297
510	22209	21252
511	22241	21198
512	22292	21162
513	22339	21122
514	22372	21069
515	22423	21033
516	22469	20991
517	22503	20939
518	22551	20900
519	22598	20860
520	22631	20806
521	22678	20766
522	22726	20727
523	22757	20672
524	22802	20630
525	22831	20574
526	22883	20538
527	22928	20496
528	22962	20444
529	23011	20405
530	23055	20363
531	23092	20314
532	23143	20277
533	23191	20238
534	23229	20189
535	23277	20150
536	23322	20108
537	23355	20056
538	23405	20018
539	23449	19975
540	23487	19927
541	23537	19889
542	23580	19845
543	23616	19796
544	23665	19757
545	23713	19717
546	23744	19664
547	23795	19627
548	23843	19587
549	23876	19535
550	23926	19497
551	23971	19455
552	24009	19407
553	24055	19366
554	24099	19323
555	24135	19273
556	24183	19234
557	24228	19191
558	24262	19141
559	24314	19104
560	24360	19062
561	24395	19012
562	24446	18975
563	24489	18931
564	24527	18884
565	24573	18842
566	24619	18801
567	24655	18751
568	24703	18712
569	24749	18670
570	24791	18625
571	24825	18575
572	24875	18537
573	24918	18493
574	24953	18443
575	25006	18407
576	25053	18366
577	25087	18316
578	25137	18278
579	25181	18235
580	25219	18187
581	25267	18147
582	25312	18105
583	25347	18055
584	25394	18014
585	25440	17973
586	25473	17922
587	25523	17884
588	25553	17830
589	25602	17791
590	25646	17748
591	25681	17699
592	25731	17660
593	25775	17617
594	25813	17570
595	25863	17531
596	25907	17488
597	25943	17440
598	25991	17399
599	26039	17359
600	26071	17308
601	26121	17269
602	26166	17227
603	26201	17178
604	26253	17140
605	26298	17098
606	26334	17050
607	26381	17009
608	26426	16966
609	26462	16918
610	26510	16878
611	26555	16836
612	26588	16786
613	26638	16746
614	26686	16706
615	26719	16656
616	26768	16616
617	26812	16573
618	26848	16525
619	26901	16487
620	26945	16445
621	26982	16397
622	27030	16356
623	27074	16313
624	27107	16264
625	27155	16223
626	27200	16181
627	27235	16132
628	27285	16093
629	27329	16050
630	27366	16003
631	27414	15962
632	27461	15921
633	27496	15873
634	27545	15833
635	27592	15791
636	27628	15744
637	27676	15703
638	27722	15661
639	27756	15613
640	27806	15573
641	27852	15531
642	27888	15483
643	27935	15442
644	27966	15392
645	28015	15351
646	28060	15309
647	28095	15261
648	28144	15221
649	28187	15178
650	28222	15130
651	28271	15089
652	28315	15046
653	28354	15000
654	28396	14956
655	28430	14908
656	28479	14868
657	28528	14827
658	28559	14778
659	28608	14737
660	28654	14695
661	28688	14647
662	28738	14607
663	28765	14556
664	28813	14515
665	28861	14473
666	28891	14424
667	28942	14384
668	28970	14333
669	29019	14293
670	29067	14252
671	29097	14202
672	29147	14162
673	29195	14121
674	29229	14073
675	29279	14033
676	29325	13991
677	29361	13944
678	29410	13904
679	29459	13863
680	29492	13814
681	29539	13773
682	29586	13732
683	29622	13685
684	29672	13644
685	29714	13601
686	29749	13553
687	29799	13513
688	29848	13472
689	29879	13424
690	29929	13383
691	29973	13340
692	30008	13293
693	30056	13252
694	30099	13208
695	30135	13162
696	30187	13123
697	30232	13080
698	30268	13034
699	30316	12992
700	30362	12950
701	30395	12902
702	30444	12862
703	30491	12820
704	30524	12772
705	30576	12733
706	30622	12690
707	30662	12646
708	30709	12604
709	30755	12562
710	30789	12515
711	30840	12474
712	30886	12432
713	30923	12386
714	30974	12346
715	31022	12304
716	31054	12257
717	31107	12217
718	31151	12174
719	31185	12127
720	31236	12087
721	31283	12045
722	31315	11997
723	31365	11956
724	31394	11908
725	31446	11868
726	31490	11825
727	31525	11778
728	31574	11737
729	31618	11694
730	31652	11647
731	31705	11608
732	31748	11564
733	31785	11518
734	31835	11478
735	31878	11434
736	31912	11388
737	32004	11362
738	32049	11319
739	32097	11277
740	32143	11235
741	32179	11189
742	32227	11147
743	32271	11104
744	32306	11058
745	32357	11017
746	32386	10968
747	32437	10928
748	32482	10885
749	32519	10839
750	32548	10791
751	32576	10743
752	32629	10703
753	32680	10662
754	32733	10622
755	32771	10576
756	32824	10536
757	32875	10495
758	32908	10449
759	32959	10408
760	33003	10365
761	33041	10320
762	33094	10279
763	33139	10236
764	33176	10191
765	33226	10150
766	33256	10102
767	33309	10062
768	33355	10019
769	33392	9974
770	33442	9932
771	33487	9890
772	33529	9846
773	33583	9806
774	33634	9764
775	33686	9723
776	33726	9679
777	33780	9639
778	33829	9597
779	33867	9552
780	33919	9511
781	33972	9470
782	34019	9428
783	34055	9382
784	34106	9341
785	34152	9298
786	34186	9252
787	34233	9210
788	34277	9166
789	34312	9121
790	34365	9080
791	34411	9037
792	34447	8991
793	34499	8950
794	34552	8909
795	34586	8863
796	34639	8822
797	34682	8779
798	34719	8734
799	34769	8692
800	34813	8649
801	34850	8603
802	34904	8563
803	34933	8516
804	34990	8475
805	35035	8432
806	35071	8387
807	35119	8345
808	35166	8302
809	35199	8256
810	35253	8215
811	35283	8168
812	35336	8127
813	35382	8084
814	35417	8039
815	35465	7997
816	35507	7953
817	35545	7908
818	35595	7866
819	35638	7823
820	35673	7777
821	35723	7735
822	35768	7692
823	35803	7647
824	35858	7606
825	35903	7563
826	35943	7519
827	35993	7477
828	36042	7434
829	36074	7388
830	36131	7348
831	36179	7305
832	36215	7260
833	36265	7218
834	36296	7172
835	36348	7130
836	36392	7087
837	36427	7042
838	36476	6999
839	36520	6956
840	36555	6911
841	36604	6868
842	36648	6825
843	36682	6780
844	36733	6738
845	36778	6694
846	36813	6649
847	36865	6607
848	36911	6564
849	36944	6519
850	36996	6477
851	37042	6434
852	37078	6389
853	37127	6347
854	37175	6304
855	37206	6259
856	37248	6215
857	37282	6170
858	37331	6127
859	37379	6084
860	37411	6039
861	37461	5997
862	37508	5954
863	37539	5908
864	37587	5866
865	37634	5823
866	37669	5778
867	37717	5735
868	37761	5692
869	37795	5647
870	37845	5605
871	37894	5562
872	37924	5517
873	37975	5474
874	38020	5431
875	38055	5386
876	38105	5344
877	38149	5301
878	38187	5256
879	38235	5213
880	38280	5170
881	38315	5126
882	38368	5083
883	38413	5040
884	38449	4996
885	38497	4953
886	38542	4910
887	38576	4865
888	38624	4822
889	38675	4780
890	38707	4735
891	38755	4692
892	38801	4649
893	38834	4604
894	38883	4561
895	38927	4518
896	38962	4473
897	39011	4431
898	39058	4388
899	39094	4343
900	39144	4301
901	39193	4258
902	39225	4213
903	39278	4171
904	39323	4127
905	39357	4083
906	39407	4040
907	39455	3997
908	39486	3953
909	39536	3910
910	39583	3867
911	39614	3822
912	39665	3779
913	39710	3736
914	39743	3692
915	39794	3649
916	39835	3605
917	39874	3561
918	39924	3518
919	39968	3475
920	40008	3431
921	40055	3388
922	40100	3345
923	40136	3301
924	40184	3258
925	40229	3214
926	40264	3170
927	40315	3127
928	40360	3084
929	40396	3040
930	40446	2997
931	40491	2954
932	40529	2910
933	40575	2867
934	40620	2823
935	40656	2779
936	40701	2736
937	40747	2693
938	40782	2649
939	40833	2606
940	40878	2563
941	40916	2519
942	40963	2476
943	41009	2432
944	41045	2388
945	41093	2345
946	41138	2302
947	41172	2258
948	41222	2215
949	41270	2172
950	41301	2128
951	41351	2084
952	41398	2041
953	41431	1997
954	41481	1954
955	41526	1911
956	41562	1867
957	41610	1824
958	41640	1780
959	41694	1737
960	41737	1693
961	41771	1650
962	41821	1606
963	41866	1563
964	41903	1519
965	41949	1476
966	41996	1433
967	42031	1389
968	42080	1346
969	42126	1302
970	42159	1259
971	42212	1215
972	42257	1172
973	42293	1128
974	42342	1085
975	42388	1042
976	42424	998
977	42476	955
978	42520	912
979	42554	868
980	42606	825
981	42646	781
982	42692	738
983	42725	694
984	42777	651
985	42822	608
986	42858	564
987	42911	521
988	42954	477
989	42992	434
990	43041	390
991	43088	347
992	43121	303
993	43172	260
994	43217	217
995	43253	173
996	43304	130
997	43350	86
998	43386	43
999	43433	0
